lens_id,jurisdiction,date_published,doc_key,publication_type,publication_reference_jurisdiction,publication_reference_kind,publication_reference_date,application_reference_jurisdiction,application_reference_kind,application_reference_date,priority_claims_earliest_claim_date,invention_title,numApplicants,numInventors,references_cited_patent_count,references_cited_npl_count,priority_claim_jurisdiction,abstract,abstract_lang,owner,title_lang
016-661-593-959-814,US,2018-11-29,US_20180340069_A1_20181129,PATENT_APPLICATION,US,A1,2018-11-29,US,A,2018-05-21,2017-05-24,DRILL CUTTINGS REUSE IN ROOFING MATERIALS,1,3,6.0,,US,A process for the reuse of oilfield drilling waste with an natural affinity for oil which has had at least a portion of the contaminants removed using a remediation technology. The drilling waste can be further refined to ensure the waste meets a desired particle size distribution and thereafter sent for reuse by mixing the drilling waste with hot bituminous tar and thereafter using the liquids phase in roofing materials. A method of mixing the drilling waste with conventional fillers is also described to create a blended mixture of drilling waste and conventional fillers to create a new hybrid filler which is mixed with hot bituminous tar for use in roofing materials.,en,{'value': 'RECOVER ENERGY SERVICES INC'},de
016-816-083-815-056,US,2022-08-04,US_20220242785_A1_20220804,PATENT_APPLICATION,US,A1,2022-08-04,US,A,2022-02-02,2021-02-02,COMPOSITIONS CONTAINING CONCRETE AND SOLID WASTE COMPOSITIONS,1,1,,,US,"Compositions containing cement or concrete and processed solid waste are provided herein, as are products made from the compositions, and systems and methods for making the compositions and products.",en,{'value': 'ECOGENSUS LLC'},en
017-015-350-776-79X,KR,2018-01-31,KR_101815483_B1_20180131,GRANTED_PATENT,KR,B1,2018-01-31,KR,A,2017-09-18,2017-09-18,Composition of panel for building materials and manufacturing method a panel,3,3,,,KR,"The present invention relates to a flame retardant and light building panel composition, which contains 30-50 wt% of waste gypsum with particle size of 100 mesh or less; 20-40 wt% of waste aluminum dross with particle size of 100 mesh or less; 25-45 wt% of sodalite with particle size of 100 mesh or less; and 1-5 wt% of an inorganic pigment with particle size of 100 mesh or less with respect to total wt% of the composition. A panel manufactured by the building panel composition according to the present invention forms a large quantity of small pores therein to have specific gravity less than water and to have excellent insulation and fire resistance characteristics for blocking heat transfer for about 40 minutes when a fire occurs to ensure enough time for evacuation from the fire, prevents generation of harmful gases to prevent loss of lives caused by suffocation, recycles the waste gypsum which is a byproduct generated from chemical processes, reduces environmental pollution damage caused by the waste aluminum and reduces costs in manufacturing the building panel.",en,,en
017-245-603-403-515,CN,2018-07-13,CN_106187052_B_20180713,GRANTED_PATENT,CN,B,2018-07-13,CN,A,2016-07-27,2016-07-27,种利用硅钙渣制备的托贝莫来石型绝热材料及制备方法,1,3,,,CN,本发明提供种利用硅钙渣制备的托贝莫来石型绝热材料及制备方法。本发明提供的托贝莫来石型绝热材料，其原料包括混合料、增强纤维、水玻璃，其中，混合料包括硅钙渣、粉煤灰和硅源补充剂，混合料中CaO和SiO的摩尔比值为0.79～0.96，增强纤维和水玻璃的质量分别占所述混合料质量的2～10％和0.5～3％。本发明还涉及种托贝莫来石型绝热材料的制备方法。本发明协同利用硅钙渣、粉煤灰等原料制备托贝莫来石型绝热材料，具有成本低、反应时间短、能耗低、产品性能满足相关标准要求，并且可以消纳硅钙渣和粉煤灰等固体废弃物，具有明显的社会、经济和环境效益。,zh-cn,,ko
017-382-428-433-16X,CN,2020-10-30,CN_111842411_A_20201030,PATENT_APPLICATION,CN,A,2020-10-30,CN,A,2020-06-30,2020-06-30,Method for full resource utilization of red mud,1,5,13.0,,CN,"The invention relates to a method for full resource utilization of red mud. The method for full resource utilization of the red mud specifically comprises the following steps of 1) washing the red mudto recover sodium hydroxide; 2) stirring and leaching out red mud washing residues in a concentrated acid rotary kiln; 3) using the leaching residues obtained in the step 2) for producing sodium silicate and building ceramsite; 4) adjusting the pH value of a leaching solution by using liquid ammonia or ammonia water to precipitate aluminum ammonium sulfate; 5), precipitating an aluminum ammoniumsulfate solution to produce iron oxide red; 6) enriching scandium, vanadium, titanium and gallium through ion exchange; and 7) carrying out MVR evaporative crystallization of ammonium sulfate. The method for full resource utilization of the red mud has the advantages that the pigment-grade iron oxide red with bright color can be obtained without calcining the produced iron oxide red, large-particle smelting-grade aluminum oxide and artificial cryolite can be produced, industrial-grade pure oxides of titanium, scandium, vanadium, gallium, rhenium and rare earth can be produced, full resource recovery of the red mud can be truly realized, the process is simple, the cost is low, and large-scale production is easy.",en,,en
018-086-549-798-050,MX,2016-07-26,MX_2016000354_A_20160726,PATENT_APPLICATION,MX,A,2016-07-26,MX,A,2013-08-05,2013-08-05,METHODS OF CEMENTING AND SPENT CRACKING CATALYST-CONTAINING CEMENT COMPOSITIONS.,1,3,,,US,"A cement composition and method for well treatment employing the cement composition that is effective at achieving zonal isolation, controlling gas migration, preventing corrosive conditions and sustaining wellbore integrity during drilling or construction of boreholes in such subterranean formations. The cement composition includes spent cracking catalyst from oil cracking processes.",en,,en
018-442-535-166-069,AU,2016-01-28,AU_2013397582_A1_20160128,PATENT_APPLICATION,AU,A1,2016-01-28,AU,A,2013-08-05,2013-08-05,Methods of cementing and spent cracking catalyst-containing cement compositions,1,3,,,US,"A cement composition and method for well treatment employing the cement composition that is effective at achieving zonal isolation, controlling gas migration, preventing corrosive conditions and sustaining wellbore integrity during drilling or construction of boreholes in such subterranean formations. The cement composition includes spent cracking catalyst from oil cracking processes.",en,,en
018-477-449-086-599,KR,2018-10-08,KR_20180109733_A_20181008,PATENT_APPLICATION,KR,A,2018-10-08,KR,A,2018-03-26,2017-03-27,Method for manufacturing repair material for packaging containing fine powder and repair material for packaging containing fine powder prepared thereby,4,3,,,JP,"An objective of the present invention is to obtain a repair material which has satisfactory fluidity to improve viscosity degradation during repair, responds to various small repair portions such as cracks and holes including minute holes in a road repair surface or a waterproof layer, prevents a flash phenomenon at a high temperature in a summer season after construction, exhibits impact resistance, viscoelasticity, and plastic deformation in an early stage, and maintains satisfactory resistance, viscoelasticity, and plastic deformation for a long period of time. The repair material for paving containing fine powder is formed by mixing 10-30 wt% of waste lubricant liquid and lubricant, 0.5-3 wt% of synthetic silica, 35-55 wt% of blown asphalt with a penetration of 10-30, 12-30 wt% of straight asphalt with a penetration of 100-200, 1-4 wt% of rosin, 12-25 wt% of slaked lime, and 1-6 wt% of bentonite.",en,,en
018-635-046-776-238,US,2021-03-23,US_10953509_B2_20210323,GRANTED_PATENT,US,B2,2021-03-23,US,A,2015-08-17,2014-08-15,"Data collection, transfer and feedback in working tools",1,1,27.0,2.0,US,"Tool bodies, tools and machines for operating the tool include electronic circuits for providing data, collecting data, analyzing data and for controlling machines based on such data. Tool bodies and tools may include electronic circuits having data collecting sensors, which may be embedded in a housing with the electronic circuit and/or positioned outside of such a housing. Sensors include temperature sensors, motion sensors, strain sensors, moisture sensors, electrical resistance sensors, position sensors, antennas, and other components.",en,,en
019-154-207-251-512,CN,2022-09-09,CN_115028329_A_20220909,PATENT_APPLICATION,CN,A,2022-09-09,CN,A,2022-07-11,2022-07-11,"Thermal catalytic decomposition, separation and drying comprehensive utilization method and system for sludge flue gas",1,3,12.0,2.0,CN,"The invention discloses a thermal catalytic decomposition, separation and drying comprehensive utilization method and system for sludge flue gas, and belongs to the field of environment. According to the method, the sludge is subjected to thermocatalytic decomposition, amino acid in the sludge is extracted, organic and inorganic components in the sludge are extracted and separated by utilizing similar and dissolvable substances and different specific gravities, after the inorganic components of the sludge are dried by utilizing flue gas at a relatively high temperature, the temperature of the flue gas is reduced, and the flue gas exchanges heat with the organic components, so that low-temperature drying of the organic components is realized. The flue gas is in contact with the extracted amino acid, carbon dioxide in the flue gas is absorbed by the amino acid, carbon recovery is achieved, and the carbon dioxide amino acid functional fertilizer is obtained. Organic components of the dried sludge are used as safe and clean carbon-neutral fuel, inorganic components are mixed with particulate matters during flue gas dust removal, and auxiliary materials are added for comprehensive utilization. A corresponding device is provided, harmless, low-cost, low-energy-consumption and high-added-value comprehensive utilization of the sludge is achieved, and purification of flue gas and comprehensive utilization of flue gas waste heat are achieved.",en,,en
019-532-360-602-177,CN,2020-02-28,CN_110843080_A_20200228,PATENT_APPLICATION,CN,A,2020-02-28,CN,A,2019-11-19,2019-11-19,Small-sized ecological block stone production system and method,1,8,,,CN,"The invention provides a small-sized ecological block stone production system and manufacturing method. The production system comprises an intelligent material control self-cleaning three-dimensionalstirrer, an ecological block stone die, a maintenance box and a polishing machine; when the stirrer is added with solidified materials, a material bin can control the flow of the materials through a screen instrument, a water bin controls the flow of water through a water pressure gauge at the bottom, stirring blades realize three-dimensional stirring of the materials through a rotating shaft of apincer-shaped shaft, and the inner wall of the stirrer is provided with high-pressure water holes; the ecological block stone die is divided into an upper die and a lower die and is fixed to a vibration table, so that pores are fully filled with the materials, the lower die is provided with drainage vent holes, and the redundant water flows out through a drainage pipe; and the polishing machine is used for multi-barrel multi-directional polishing, polishing textures are arranged on the inner walls of polishing barrels, and stones flow out of the polishing barrels at the center through liftingthe polishing barrels. The system and the method have the beneficial effects that industrial wastes such as mineral powder, and fly ash are recycled, the problem of stone resource is solved, and theproduction scale is industrialized and mechanized.",en,,en
020-492-008-334-160,JP,2017-11-02,JP_2017532219_A_20171102,PATENT_APPLICATION,JP,A,2017-11-02,JP,A,2015-05-23,2014-08-13,未硬化コンクリートを加工処理する方法,1,1,9.0,,US,未硬化コンクリートを加工処理するための方法および関連するシステムが開示される。少なくとも１つの実施形態において、方法は、大量の泡を未硬化の返送コンクリートに添加するステップと、次いで、コンクリートミキサトラックまたは他のコンクリート混合装置内で泡を返送コンクリートと混合するステップとを含む。泡と返送コンクリートとの混合を介して、水和されたセメントおよび骨材粒子が多量の空隙によって分離され、これにより、結果として得られた高多孔率のコンクリートの強度が劇的に低下される。処理されたコンクリートは放出され、およびこの脆弱な状態で固化され、その後、販売または再使用できるばらばらの粒子状材料へ容易に破砕される。,ja,,ja
020-743-847-434-14X,CN,2022-12-06,CN_114227863_B_20221206,GRANTED_PATENT,CN,B,2022-12-06,CN,A,2022-01-11,2022-01-11,金铜矿压力中和渣再利用的矿物质板材及其生产方法,1,3,,,CN,本发明提供了一种金铜矿压力中和渣再利用的矿物质板材生产方法，包括：将14‑26份重量的硫酸镁、2‑4份重量的磷酸氢二钠溶于水，加入1‑2份重量的消泡剂、1‑2份重量的分散助剂匀速搅拌，将波美度调至15‑45％形成凝固液；将7‑13份重量的氧化镁、20‑40份重量的金铜矿压力中和渣、14‑26份重量的木粉加入所述凝固液中缓慢搅拌，然后再加入7‑13份重量的凝固剂高速搅拌均匀形成搅拌料；将所述搅拌料加入铺装设备，调整好板材所需厚度参数，将所述搅拌料铺装在铝板上；将所述铝板经过预压后，进入高压机加压、保压、锁压、解压；最后将上述所得片材烘干、定量砂光、裁边。本发明还涉及一种金铜矿压力中和渣再利用的矿物质板材。,zh-cn,,ko
021-021-482-010-177,CN,2022-12-27,CN_115521091_A_20221227,PATENT_APPLICATION,CN,A,2022-12-27,CN,A,2021-06-25,2021-06-25,Utilization method of FCC waste catalyst,2,6,4.0,,CN,"The invention belongs to the technical field of environmental protection, and relates to a utilization method of an FCC waste catalyst, which comprises the following steps: mixing the FCC waste catalyst with silicon-aluminum material particles with the particle size of less than 20 microns, and carrying out heat treatment at the temperature of higher than 1200 DEG C, wherein the content of the silicon-aluminum material particles with the particle size smaller than 20 microns in the mixture of the FCC waste catalyst and the silicon-aluminum material particles with the particle size smaller than 20 microns is 1-10%; the treated FCC waste catalyst is obtained; and mixing the treated FCC waste catalyst with stone, mineral powder and asphalt to prepare the asphalt mixture. The method can improve the effect of the FCC waste catalyst applied to the asphalt mixture.",en,,en
021-127-621-360-923,TN,2018-07-04,TN_2017000107_A1_20180704,PATENT_APPLICATION,TN,A1,2018-07-04,TN,A,2015-09-22,2014-09-22,SYSTÈME DE NEUTRALISATION D'AMIANTE.,1,1,,,FR,"Le système de neutralisation d'amiante, comporte une unité mobile de neutralisation (200)comportant :- un module (225) de tri de déchets d'amiante,- un broyeur (255) d'amiante et- un bain (250) d'acide chaud pour rendre l'amiante inerte.Préférentiellement, le module de tri de déchets d'amiante comporte :- un vitre munie de boîtes à gants et- un convoyeur pour transporter les déchets d'amiante devant la vitre Dans des modes de réalisation, le système comporte un moyen de confinement del'atmosphère dans l'unité mobile de neutralisation et/ou le bain (250) d'acide chaud de l'unité mobile de neutralisation (200) comporte de l'acide sulfurique.",fr,,so
021-950-030-611-074,ES,2013-12-16,ES_2394979_B1_20131216,GRANTED_PATENT,ES,B1,2013-12-16,ES,A,2011-06-17,2011-06-17,PROCEDIMIENTO PARA LA FABRICACION DE CEMENTOS ALCALINOS A PARTIR DE RESIDUOS VITREOS URBANOS E INDUSTRIALES.,1,3,,,ES,,unknown,,de
022-089-808-185-207,CA,2016-02-16,CA_2694379_C_20160216,GRANTED_PATENT,CA,C,2016-02-16,CA,A,2008-07-21,2007-07-25,DISPOSAL METHOD FOR ENTIRELY RECYCLING SOLID REFUSE,1,1,,,CN,"A disposal method for entirely recycling solid refuse includes the following steps: sorting, crushing, drying, pressing with high pressure to shaped articles, producing charcoal from combustible refuse in high temperature and firing incombustible refuse in high temperature, at last cooling high temperature articles to obtain solid fuel with various shapes and bricks or board used for building. The method achieves entirely recycling house refuse, especial solid refuse. The method recycles solid refuse to obtain fuel and building material with economic value. The method is simple and its processing cost is low.",en,,de
022-454-072-657-074,CN,2020-12-11,CN_112062342_A_20201211,PATENT_APPLICATION,CN,A,2020-12-11,CN,A,2020-09-08,2020-09-08,Continuous membrane filtration type electroplating wastewater treatment method,1,1,3.0,,CN,"The invention relates to the technical field of wastewater treatment, in particular to a continuous membrane filtration type electroplating wastewater treatment method. The method comprises the following steps: a) feeding the electroplating wastewater into an oil separation tank for oil separation treatment, and feeding water separated from the oil separation tank into a reaction tank; b) removingoil and suspended matters in the water subjected to oil separation treatment in the reaction tank through a flocculating agent, ferrous sulfate and sodium hydroxide; c) feeding into a continuous membrane filtration system for filtration; d) feeding sludge discharged by the continuous membrane filtration system into a sludge concentration tank; e) feeding the sludge subjected to aeration treatmentinto a supercritical water oxidation system for treatment; and f) preparing the sludge treated by the supercritical water oxidation system into bricks. The treatment efficiency of the electroplatingwastewater is improved through the continuous membrane filtration system. Sludge is subjected to aeration treatment through a sludge concentration tank, organic matters are removed through the supercritical water oxidation system, and finally, the sludge is directly made into bricks. Therefore, the cost is saved, and the treatment efficiency is improved.",en,,en
022-759-266-859-907,US,2021-02-25,US_20210053091_A1_20210225,PATENT_APPLICATION,US,A1,2021-02-25,US,A,2020-08-22,2019-08-22,"CONDITIONING, BIOTREATMENT AND COMPOSTING OF CONSTRUCTION AND DEMOLITION DEBRIS FINES",1,5,5.0,,US,"A method of valuation of raw fines materials, comprising selectively screening, biotreatment or composting of raw fines materials or selection as fillers in composites. The method comprises screening the raw fines materials to Grade 1 comprising fines materials of a size of at most about 5 mm and Grade 2 comprising fines materials of a size larger than about 5 mm; and at least one of: A) bio-oxydating organic contaminants of the Grade 1; by adding and mixing organic amendment under controlled temperature, nutrients content and water content conditions and monitoring a content of organic contaminants until the content of organic contaminants stops decreasing; and B) composting the Grade 1; by adding and mixing organic amendment under controlled temperature, nutrients content and water content conditions, and monitoring pathogens content and respiration rate; and stopping the addition of organic amendment upon detection of absence of pathogens at a predetermined respiration rate.",en,{'value': 'SANEXEN ENVIRONMENTAL SERVICES INC'},de
023-365-941-053-793,KR,2021-08-20,KR_20210102610_A_20210820,PATENT_APPLICATION,KR,A,2021-08-20,KR,A,2020-02-12,2020-02-12,MANUFACTURING METHOD FOR HIGH PERFORMANCE CONCRETE USING WASTE TIRE CHIP AND HIGH PERFORMANCE CONCRETE USING THE SAME,1,1,1.0,,KR,"The present invention relates to a manufacturing method for high performance concrete and to high-performance concrete. The manufacturing method comprises the steps of: preparing a silica fume obtained by carbonizing rice hulls and then removing carbon, and pulverizing waste tires to a predetermined size to prepare waste tire chips; dry-mixing 7-10 wt% of the silica fume and 3-10 wt% of the waste tire chips for 4-10 minutes; adding 12 to 17 wt% of at least one admixture selected from a group consisting of blast furnace slag fine powder, fly ash, and bottom ash to the mixture obtained by drying the silica fume and the waste tire chips; adding cement and fine aggregate to the mixture in which the admixture is added and dry-mixing the same for 10 to 15 minutes; and adding an admixture and mixing water to the mixture in which the cement and fine aggregate are mixed, dry-mixing the same to form a cement paste, and adding waste tire steel fibers obtained by grinding an iron core of the waste tire material to a certain size into the cement paste. By replacing the material of the conventional high-performance concrete mixture with waste tire chips, silica fume, and waste tire steel fiber, it is possible to increase the strength of high-performance concrete while reducing the content of cement required for concrete production.",en,,en
024-252-144-556-414,US,2020-08-06,US_20200248414_A1_20200806,PATENT_APPLICATION,US,A1,2020-08-06,US,A,2018-07-26,2017-08-24,"METHOD FOR PRODUCING AN INTEGRAL BRIDGE, AND INTEGRAL BRIDGE",1,2,,,AT,"A first arch and second arch are produced in respective first and second structural portions. Each arch has a tie rod interconnecting the foot points of the arch, where a foot point of the arch is displaceably mounted. Each tie rod is tensioned so that horizontal forces caused by the weight of the arches at the foot points of the corresponding arch, are taken up by the tie rods. A first end point of the tie rod of the first arch is connected in a force-fitting manner to the first abutment, and a second end point of the tie rod of a last arch is connected in a force-fitting manner to the second abutment. The remaining adjoining end points of the tie rods are connected to one another in a force-fitting manner, and corresponding foot points of the arches are connected in a force-fitting manner to the abutments and pillar.",en,{'value': 'TECHNISCHE UNIVERSITÄT WIEN'},en
024-271-163-571-365,KR,2019-04-09,KR_101967231_B1_20190409,GRANTED_PATENT,KR,B1,2019-04-09,KR,A,2018-07-26,2018-07-26,MANUFACTURING METHOD FOR RECYCLED AGGREGATE USING SLUDGE AND CONCRETE PRODUCTS THEREOF,1,4,10.0,,KR,"The present invention relates to a recycled aggregate forming method using sludge and a concrete block using the same. The recycled aggregate forming method using sludge includes: a mixed sludge forming step of forming mixed sludge by mixing various kinds of sludge at a predetermined ratio; a mixture evaporating step of evaporating moisture contained in the mixed sludge by mixing industrial byproducts having exothermic feature with the mixed sludge; a drying and evaporating step of drying the mixed sludge, from which moisture is evaporated in the mixture evaporating step, at 100-200°C; and a sintering and dehydrating step of sintering the mixed sludge, dried in the drying and evaporation step, at 650-1,000°C. Various kinds of sludge in the mixture sludge forming step include centrifugal concrete sludge, ready-mixed concrete sludge, stone sludge, and sewage sludge. The present invention is expected to improve the durability and strength of a concrete block using a recycled aggregate by removing moisture, a chemical material, or an organic material contained in sludge in phases to form the recycled aggregate.",en,,en
024-791-564-346-707,CN,2022-08-12,CN_113149585_B_20220812,GRANTED_PATENT,CN,B,2022-08-12,CN,A,2021-02-08,2021-02-08,一种含淤泥人工砂石的超高性能混凝土及其制备方法,1,8,,,CN,本发明公开了一种高性能混凝土，所述高性能混凝土包括淤泥人工砂石，含所述淤泥人工砂石的所述高性能混凝土由质量分数为：所述人工石35‑41份、所述人工细砂51‑56份、所述人工粗砂33‑39份，水泥97‑103份、硅灰17‑22份、矿粉0‑38份、粉煤灰0‑38份、干化淤泥9‑12份、减水剂3.5‑3.9份、钢纤维21‑24份和水24‑26份组成。本发明具所得混凝土强度高，工艺、成本、原材料获取等均强于普通C30混凝土，可广泛应用于混凝土材料制备技术领域。,zh-cn,,zh-cn
024-885-447-330-746,CN,2021-05-28,CN_112851243_A_20210528,PATENT_APPLICATION,CN,A,2021-05-28,CN,A,2021-01-26,2021-01-26,Baking-free brick containing aluminum mud,1,2,,,CN,"The invention discloses a baking-free brick containing aluminum mud, which is prepared from the following materials in percentage by weight: 15-25% of dry aluminum mud powder, 3-10% of fly ash, 5-20% of water-quenched slag powder, 5-15% of Portland cement and 20-50% of sandstone aggregate, and the aluminum mud is a solid waste filler. The sandstone aggregate can also be replaced with industrial and mining solid waste to serve as aggregate besides a common sandstone material, and the aggregate comprises but is not limited to tailing sand, barren rock and construction waste. The curing cementing material comprises but is not limited to fly ash, water-quenched slag powder and Portland cement. The invention relates to the technical field of construction materials, in particular to a baking-free brick containing aluminum mud. The expansion damage of the baking-free brick caused by water absorption of the aluminum mud is inhibited, and the stability of the product is improved. The characteristics of a volcanic ash material and dense filling of coarse and fine aggregate gradation are fully utilized, so that the use amount of cement is reduced, the cost is greatly reduced, the volume weight and strength of a product are increased, and the negative influence of light aluminum mud on the strength of the product is reduced.",en,,en
025-092-964-988-42X,US,2022-01-20,US_20220017419_A1_20220120,PATENT_APPLICATION,US,A1,2022-01-20,US,A,2021-09-16,2017-01-10,USE OF MINERAL FINES TO REDUCE CLINKER CONTENT OF CEMENTITIOUS COMPOSITIONS,1,1,,,US,"Mineral fines reduce OPC content in concrete, mortar and other cementitious compositions, typically in combination with a pozzolanically active SCM. Mineral fines can replace and/or augment a portion of hydraulic cement and/or fine aggregate. Mineral fines can replace a portion of cement binder and fine aggregate as an intermediate that fills a size void between largest cement particles and smallest fine aggregate particles. Supplemental lime can enhance balance of calcium ions in the mix water and/or pore solution. Supplemental sulfate can address sulfate deficiencies caused by high clinker reduction, use of water reducers and/or superplasticizers, and SCMs containing aluminates. Concentrated or pure carbon dioxide (CO2) can be used to passivate alkaline values in highly alkaline materials, such as concrete washout fines, CKD, class C flyash, incinerator ash, bottom ash, or biomass ash. CO2 passivation or sequestration can be carried out before, during or after forming an initial concrete mix.",en,{'value': 'ROMAN CEMENT LLC'},en
025-806-432-846-553,KR,2021-02-15,KR_102216157_B1_20210215,GRANTED_PATENT,KR,B1,2021-02-15,KR,A,2019-07-29,2019-07-29,SLATE SCORIA FOR PREVENTING WHITENING EVENT USING THE WASTE SLATE,1,1,,,KR,"본 발명은 폐슬레이트를 이용한 백화 현상 방지용 슬레이트 송이석의 제조방법에 관한 것으로, 보다 구체적으로는 폐슬레이트와 송이석을 기반으로 원하는 제품형태의 슬레이트 송이석을 제조함으로써, 종래 매립 처리되는 폐슬레이트를 재활용함에 따라 환경오염을 최소화할 수 있을 뿐만 아니라, 상기와 같은 제품에 백화 방지 기능을 부여할 수 있도록 하며, 더욱이 폐슬레이트가 시멘트나 송이석층에 가두어지는 형태로 경화되어 재활용 됨에 따라 석면이 전혀 묻어나오지 않는 등 보다 더 친환경적으로 폐슬레이트를 재활용 할 수 있도록 하는, 폐슬레이트를 이용한 백화 현상 방지용 슬레이트 송이석의 제조방법에 관한 것이다.",ko,,de
026-492-006-325-832,US,2018-11-20,US_10132099_B2_20181120,GRANTED_PATENT,US,B2,2018-11-20,US,A,2016-12-13,2011-09-12,Device for forming post sleeves and related methods,1,1,69.0,,US,A method of forming a post sleeve within a post hole in the ground to include a post receiving cavity to insertably receive and support a post is provided. The method includes positioning a post sleeve core within the post hole with the aid of an elongate installation member and depositing uncured material into the post hole to at least partially surround the post sleeve core while the post sleeve core is attached to the elongate installation member. The method further includes allowing the uncured material to harden around the post sleeve core to form at least a portion of the post-receiving cavity of the post sleeve and removing the post sleeve core from the hardened material to expose the post receiving cavity to receive and support the post. Other related methods of forming post sleeves are also provided.,en,,en
026-816-886-399-271,US,2021-04-20,US_10981828_B2_20210420,GRANTED_PATENT,US,B2,2021-04-20,US,A,2019-08-20,2018-08-22,High strength class C fly ash cementitious compositions with controllable setting,1,4,12.0,11.0,US,An embodiment includes a Class C fly ash (CFA) cementitious composition with a controllable setting time comprising at least one Class C fly ash; at least one alkali hydroxide; at least one source of phosphate; and water. Alternate embodiments include a Class C fly ash (CFA) cementitious composition with a solid activator comprising at least one Class C fly ash; at least one alkali carbonate; at least one source of phosphate; and water.,en,{'value': 'THE CATHOLIC UNIVERSITY OF AMERICA'},en
027-955-775-127-616,US,2021-03-04,US_20210062531_A1_20210304,PATENT_APPLICATION,US,A1,2021-03-04,US,A,2020-04-16,2011-09-12,DEVICE FOR FORMING POST SLEEVES AND RELATED METHODS,1,1,,,US,A method of forming a post sleeve within a post hole in the ground to include a post receiving cavity to insertably receive and support a post is provided. The method includes positioning a post sleeve core within the post hole with the aid of an elongate installation member and depositing uncured material into the post hole to at least partially surround the post sleeve core while the post sleeve core is attached to the elongate installation member. The method further includes allowing the uncured material to harden around the post sleeve core to form at least a portion of the post-receiving cavity of the post sleeve and removing the post sleeve core from the hardened material to expose the post receiving cavity to receive and support the post. Other related methods of forming post sleeves are also provided.,en,,de
028-059-789-800-235,CN,2019-02-22,CN_106186993_B_20190222,GRANTED_PATENT,CN,B,2019-02-22,CN,A,2016-07-18,2016-07-18,无水卵石回填地层盾构壁后注浆材料,2,17,,,CN,本发明公开了种无水卵石回填地层盾构壁后注浆材料，所述注浆材料原料按重量百分比包括10‑16％的粉煤灰、2‑3.2％的石灰、0.5‑4.5％的膨润土、54‑57％的石屑，余量为水加至100％；结合无水卵石回填地层特点，采用的特定的原料和配合比，满足地层注浆液的和易性、流动性需求，大大降低成本，防止注浆液的流失、加快注浆液的初凝时间，有效控制地表沉降与管片错台。采用石屑替代河砂，不但可就地取材，方便快捷，还价格便宜，节约经济成本，采用石灰取代水泥，凝聚时间更短，成本更低。,zh-cn,,zh-cn
028-093-335-100-807,CN,2018-12-28,CN_109095808_A_20181228,PATENT_APPLICATION,CN,A,2018-12-28,CN,A,2018-08-15,2018-08-15,Plastisol for recycling waste boron sludge and preparation method and application thereof,1,3,6.0,,CN,"The invention relates to plastisol for recycling waste boron sludge and a preparation method and application thereof. The plastisol for recycling waste boron sludge is composed of, by weight parts, 20parts of component A and 3-5 parts of component B. The component A is made of, by weight parts, 1-3 parts of polyvinyl alcohol, 30-50 parts of glyoxal, 30-50 parts of urea, 5-10 parts of urotropine,0.5-1 part of sodium oleate, 1-3 parts of triethanolamine, 3-7 parts of sodium chloride and 90-100 parts of water. The component B is prepared from, by weight parts, 1-3 parts of triethanolamine, 0.5-1.5 parts of potassium hydroxide with a mass percentage concentration of 30-40% and 0.2-0.7 part of butylene oxide. By using the plastisol, the bonding strength of the boron sludge can be improved, and a high-strength boron paste board can be prepared.",en,,en
028-226-984-604-868,CN,2017-05-31,CN_106746980_A_20170531,PATENT_APPLICATION,CN,A,2017-05-31,CN,A,2016-12-07,2016-12-07,Method for preparing cement mortar with photocatalysis function from red mud solid wastes,1,4,3.0,4.0,CN,"The invention discloses a method for preparing cement mortar with a photocatalysis function from red mud solid wastes. The method comprises the following steps: sintering the red mud solid wastes at temperature of 500 to 600 DEG C for 2 to 5 hours, and carrying out screening to prepare red mud particles with the particle size of 0.12 to 0.15 mm; then mixing and stirring the red mud particles with cement, sand, a polycarboxylic acid water reducing agent and water to prepare the cement mortar with the photocatalysis function. According to the method disclosed by the invention, Fe2O3, TiO2 and V2O5 photocatalysts in sintered red mud are used for generating photocatalysis action after absorbing the sunlight, so that nitric oxides and volatile organic compounds (VOC) in the atmospheric environment can be removed under catalysis in real time, and a function of purifying atmosphere is realized; meanwhile, the use range of the red mud solid wastes is expanded, the additional value of the red mud solid wastes is increased, and the aim of sustainable development is fulfilled; the method has important social and economical benefits.",en,,en
028-441-215-084-820,US,2014-07-03,US_20140182238_A1_20140703,PATENT_APPLICATION,US,A1,2014-07-03,US,A,2014-03-04,2011-09-12,DEVICE FOR FORMING POST SLEEVES AND RELATED METHODS,1,1,21.0,,US,A method of forming a post sleeve within a post hole in the ground to include a post receiving cavity to insertably receive and support a post is provided. The method includes positioning a post sleeve core within the post hole with the aid of an elongate installation member and depositing uncured material into the post hole to at least partially surround the post sleeve core while the post sleeve core is attached to the elongate installation member. The method further includes allowing the uncured material to harden around the post sleeve core to form at least a portion of the post-receiving cavity of the post sleeve and removing the post sleeve core from the hardened material to expose the post receiving cavity to receive and support the post. Other related methods of forming post sleeves are also provided.,en,,de
028-598-863-602-644,EP,2020-08-19,EP_3694820_A1_20200819,PATENT_APPLICATION,EP,A1,2020-08-19,EP,A,2018-10-11,2017-10-11,NON-FIRED MONOLITHS,1,2,,,GB,,unknown,,de
